0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:38 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:47 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:47 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:10:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Dec/2022:14:13:12 +0900] "GET /StudyHTML/css1229/test3.html HTTP/1.1" 200 1444
