0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:40:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:40:33 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [26/Jan/2023:10:41:20 +0900] "GET /StudyJSP/jsp04_session/sessionTest1.jsp HTTP/1.1" 500 2817
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:02:31 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:02:37 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:02:39 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:02:41 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:02:43 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:03:43 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:03:45 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:03:46 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:03:48 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_remove.jsp HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:12:48 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:13:42 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:19:17 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_set.jsp HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:19:22 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:20:10 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:23:57 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:23:59 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:24:02 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:24:10 +0900] "GET /StudyJSP/jsp04_session/sessionTest2.jsp HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:24:11 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:24:36 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [26/Jan/2023:11:24:56 +0900] "GET /StudyJSP/jsp04_session/sessionTest2_get.jsp HTTP/1.1" 200 358
