127.0.0.1 - - [11/Jan/2023:14:04:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:04:44 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:04:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:05:31 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:10:17 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:10:22 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:10:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:11:31 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:12:36 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:13:07 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:13:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:13:31 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 1227
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:13:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Jan/2023:14:14:35 +0900] "GET /StudyJavascript/javascript6_0110_event/test24.html HTTP/1.1" 200 1228
