127.0.0.1 - - [14/Feb/2023:12:30:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:30:50 +0900] "GET /StudyJSP/ HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:30:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:31:48 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_main.jsp HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:31:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:31:59 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:31:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:32:09 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:32:15 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:32:15 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:16 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:21 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:22 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:31 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:32 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:49 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:33:49 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:00 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:04 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:04 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:22 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:22 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:42 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:44 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:48 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:48 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:52 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:34:52 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:35:01 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:35:04 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:35:04 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [14/Feb/2023:12:35:07 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
