127.0.0.1 - - [31/Jan/2023:14:17:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:17:18 +0900] "GET /StudyJSP/jsp08_jstl/test1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:17:18 +0900] "GET /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:17:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:21:14 +0900] "GET /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:22:05 +0900] "GET /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:24:56 +0900] "GET /StudyJSP/jsp08_jstl/test1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:24:56 +0900] "GET /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:25:13 +0900] "GET /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:25:20 +0900] "GET /StudyJSP/jsp08_jstl/test1.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:25:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:32:23 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:34:33 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:38:01 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:39:34 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:40:22 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:55:18 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:55:22 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:57:48 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:57:59 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_main.jsp HTTP/1.1" 200 986
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:57:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:58:09 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_form.jsp HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:58:17 +0900] "POST /StudyJSP/jsp04_session/sessionTest3_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jan/2023:14:58:17 +0900] "GET /StudyJSP/jsp04_session/sessionTest3_login_main.jsp HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:02:58 +0900] "GET /StudyJSP/jsp08_jstl/test1.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:03:02 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:04:03 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:04:31 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:05:12 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:05:47 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:06:40 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:08:12 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:09:17 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:10:40 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:11:39 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:12:14 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 500 3296
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:14:43 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:16:17 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:16:43 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:18:07 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:18:34 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:20:16 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:23:14 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:24:22 +0900] "POST /StudyJSP/jsp08_jstl/test1_result.jsp HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [31/Jan/2023:15:58:18 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:01:25 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:02:55 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 303
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:03:22 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:05:55 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:07:42 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:09:44 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:11:18 +0900] "GET /StudyJSP/jsp08_jstl/test2.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:13:59 +0900] "GET /StudyJSP/jsp08_jstl/test3.jsp HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:14:04 +0900] "POST /StudyJSP/jsp08_jstl/test3_result.jsp HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [31/Jan/2023:16:17:49 +0900] "POST /StudyJSP/jsp08_jstl/test3_result.jsp HTTP/1.1" 200 264
