127.0.0.1 - - [08/Mar/2023:13:55:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:55:40 +0900] "GET /MVC_Board/ HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:55:40 +0900] "GET /MVC_Board/css/inc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:55:40 +0900] "GET /MVC_Board/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:55:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:55:54 +0900] "GET /MVC_Board/BoardWriteForm.bo HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:55:54 +0900] "GET /MVC_Board/css/subpage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:56:01 +0900] "POST /MVC_Board/BoardWritePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:56:01 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:58:22 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:58:25 +0900] "POST /MVC_Board/BoardWritePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:13:58:25 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:05:57 +0900] "POST /MVC_Board/BoardWritePro.bo HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:29:01 +0900] "GET /MVC_Board/ HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:29:01 +0900] "GET /MVC_Board/ HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:29:01 +0900] "GET /MVC_Board/ HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:29:02 +0900] "GET /MVC_Board/BoardWriteForm.bo HTTP/1.1" 200 2477
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:29:45 +0900] "POST /MVC_Board/BoardWritePro.bo HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:30:29 +0900] "POST /MVC_Board/BoardWritePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:30:29 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:31:21 +0900] "POST /MVC_Board/BoardWritePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:31:21 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:52:45 +0900] "GET /MVC_Board/ HTTP/1.1" 200 1097
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:56:47 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 500 1571
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:56:59 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [08/Mar/2023:14:59:32 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [08/Mar/2023:15:00:20 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [08/Mar/2023:15:03:18 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 1895
