127.0.0.1 - - [13/Feb/2023:14:53:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:53:40 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:53:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:53:44 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=join_form HTTP/1.1" 200 14301
0:0:0:0:0:0:0:1 - - [13/Feb/2023:14:58:53 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_join_pro.jsp HTTP/1.1" 200 274
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:08:12 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=join_form HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:08:33 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_join_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:08:33 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:23:57 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=join_form HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:24:16 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_join_pro.jsp HTTP/1.1" 500 4295
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:25:19 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_join_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:25:19 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:26:40 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=join_form HTTP/1.1" 200 14305
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:39:05 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_member_list.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:51:16 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:56:57 +0900] "POST /StudyJSP/jsp12_dbcp/sessionTest3_login_pro.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:57:06 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:57:06 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:57:08 +0900] "POST /StudyJSP/jsp12_dbcp/sessionTest3_login_pro.jsp HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:57:18 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [13/Feb/2023:15:57:20 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [13/Feb/2023:16:27:34 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [13/Feb/2023:16:27:40 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [13/Feb/2023:16:27:48 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [13/Feb/2023:16:31:46 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [13/Feb/2023:16:37:27 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 1933
0:0:0:0:0:0:0:1 - - [13/Feb/2023:16:37:30 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:16:37:30 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1121
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:02:00 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:07:51 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:07:51 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:07:51 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:30 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:43 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:45 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:45 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:48 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:48 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:53 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2002
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:56 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:08:56 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1312
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:11:41 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:11:46 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4_logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:11:46 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:15:12 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:15:12 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:15:19 +0900] "GET /StudyJSP/jsp12_dbcp/dbcp_test4.jsp?category=login_form HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [13/Feb/2023:17:15:21 +0900] "POST /StudyJSP/jsp12_dbcp/dbcp_test4_login_pro.jsp HTTP/1.1" 302 -
